npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40202495,SD NEGERI SIUMBATU,Siumbatu,Kec. Bahodopi,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.763,122.0496
69880825,TK NEGERI 1 BAHODOPI,DESA BAHODOPI,Kec. Bahodopi,Kab. Morowali,Prov. Sulawesi Tengah,TK,NEGERI,-2.7899,122.125
69920612,TK. ALKHAIRAAT KOLONO,DESA KOLONO,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.7200546,121.9800263
40202691,SD NEGERI 2 ONEPUTE JAYA,Desa Onepute Jaya,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.7304,121.9991
69920265,TK. ALKHAIRAAT BUMI NIKEL,DESA ONE PUTE JAYA,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.7345,122.0127
40202671,SD NEGERI 1 ONE PUTE JAYA,One Pute Jaya,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.7339,122.0162
40204542,SMP NEGERI 3 BUNGKU TIMUR,"JLN TRANSULAWESI BAHOMOTEFE, KEC. BUNGKU TIMUR",Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.7249,122.0192
P9926415,PKBM BUMI NIKEL,JL. TRANS SULAWESI RT 4,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,PKBM,SWASTA,-2.6960977,121.8564355
40202674,SD NEGERI 02 BUNGKU,Marsaoleh,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.701,121.908
40202787,SD NEGERI BAHOMOAHI,"Jl.Trans Sulawesi, Desa Bahomoahi Kec. Bungku Timur",Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.7024,121.9947
40202778,SD NEGERI 1 BAHOMOTEFE,Bahomotefe,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.7113,122.0056
69775315,SMKN 1 BUNGKU TIMUR,KOLONO,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SMK,NEGERI,-2.6861,121.9893
40202621,SD NEGERI ULULERE,Ululere,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.6823,121.9672
69920274,TK. ALKHAIRAAT ULULERE,DESA ULULERE,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.6825,121.9685
70027905,MI ALKHAIRAAT KOLONO,JL. TRANS SULAWESI,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.6824,121.982
