npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
69770322,SMP LABSCHOOL,"Jl. Setia Budi, Palu timur",Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,SMP,SWASTA,-0.8863,119.9187
70048650,KB BAHRUNNAJAAH,Jl. Pue Salangga,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,KB,SWASTA,-0.8832,119.918
70048645,TK BAHRUNNAJAAH,Jl. Pue Salangga,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,TK,SWASTA,-0.8831,119.918
P9997127,PKBM SAMPOROA VALANGGUNI,Perumahan Citra Pesona Indah V Blok F No.9 Palu,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,PKBM,SWASTA,-0.8837,119.8904
69872322,SD KECIL WANA,Desa Tipo,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8615,119.7873
40203719,SD INPRES KECIL SALENA,Jl. Pue Lembo Salena,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8568,119.8011
40203641,SD BK LEKATU,Dusun Lekatu,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SD,SWASTA,-0.857,119.8164
69794510,TK NURUL MASYITHAH,JL.MALONDA NO 104 SILAE,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,TK,SWASTA,-0.8698,119.8318
40203607,SMAN 8 PALU,JL. Ragigau No. 3 Palu,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SMA,NEGERI,-0.8593,119.8252
40205478,TK NEGERI PEMBINA BAW JANNAH ULUJADI,JL. MALONDA NO. 167,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,TK,NEGERI,-0.8579,119.8237
40203506,SD NEGERI TIPO,Jl. Salambara No. 3,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8605,119.8275
40203581,SMP NEGERI 8 PALU,Jl. Malonda No. 190 B,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SMP,NEGERI,-0.8564,119.8244
40203711,SD INPRES TIPO,Jl Malonda,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8556,119.8251
40210293,MTSS AL KHAIRAAT BULURI,JL. MALONDA NO 1 BULURI,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,MTs,SWASTA,-0.8523,119.8243
40203500,SD NEGERI BULURI,Jl.malonda No.76,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8491,119.823
40203761,SDN INPRES BULURI,Jl. Malonda No. 16 Palu,Kec. Ulujadi,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.846,119.8182
60728860,MIS AL-HUDA BESUSU,JL. RAJAMOILI 2,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,MI,SWASTA,-0.887,119.8647
40205497,TK ADHYAKSA XXII PALU,JL. SAMRATULANGI N0. 45,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,TK,SWASTA,-0.8885414,119.86585
163003  ,STISIP Panca Bhakti Palu,Jalan Dr Soeharso No 36-A ,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,Sekolah Tinggi,SWASTA,-0.888959,119.867335
163004  ,Sekolah Tinggi Ilmu Ekonomi Panca Bhakti Palu,Jalan Dr Suharso No 36-A ,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,Sekolah Tinggi,SWASTA,-0.8889141,119.867359
161028  ,Universitas Abdul Azis Lamadjido,,,Kota Palu,Prov. Sulawesi Tengah,Universitas,Aktif,-0.888838,119.867396
40209807,TK NEGERI MODEL TERPADU MADANI,JL. SOEKARNO HATTA,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,TK,NEGERI,-0.8873975,119.8675657
40203533,SD NEGERI 17 PALU,Jl. Panglima Polem No. 13,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8871,119.8683
40203638,SD INPRES 1 BESUSU,Jl. Panglima Polem No. 11,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8869,119.8685
40203709,SD ISLAM ALHIDAYAH BESUSU,Jl. Panglima Polem No 18,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,SD,SWASTA,-0.8885,119.8688
