npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40210184,MTSS ISTIQAMAH DUNGINGIS,JL. MASJID TAQWA NO. 7 DUNGINGIS,Kec. Dako Pemean,Kab. Tolitoli,Prov. Sulawesi Tengah,MTs,SWASTA,1.124,121.0681
40210223,MTSS USWATUN HASANAH MODO,JL. TRANS NO. 304,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,MTs,SWASTA,1.111383,121.319064
40209839,MAS NURUL IHSAN TONGON,DESA TONGON,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,MA,SWASTA,1.108399,121.350803
40202109,SD NEGERI 18 MOMUNU,Desa Taluan,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.0945,121.3752
69902627,TK.POGOGUL,JL.TRANS SULAWESI,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,TK,SWASTA,1.0966,121.3764
40202021,SMP NEGERI 2 MOMUNU,Jl.siswa No.25,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SMP,NEGERI,1.0965,121.3819
40202151,SD NEGERI 15 MOMUNU,Desa. Pujimulyo,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.098,121.3826
40202146,SD NEGERI 16 MOMUNU,Desa Pinamula,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1126,121.3656
40202131,SD NEGERI 14 MOMUNU,Desa Potugu,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.0986,121.3933
69951863,PPS DDI Nurul Hidayah Potugu,Jl. Trans Momunu Tiloan No.31 Desa Potugu,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,Pondok Pesantren,SWASTA,1.099,121.3981
60723462,MIS DDI NURUL HIDAYAH,TRANS MOMUNU NO.31,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,MI,SWASTA,1.0997,121.3978
40210221,MTSN 3 BUOL,JL. PENDIDIKAN NO.06,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,MTs,NEGERI,1.0998,121.4026
