npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40204223,SMP NEGERI SATAP TATARANDANG,Desa Tatarandang,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.5363,122.8896
40200232,SD NEGERI TATARANDANG,Tatarandang,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5363,122.8902
40200402,SD INPRES PALABATU 2,Palabatu 2,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.541,122.8686
40200161,SD NEGERI BALALON,Balalon,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5176501,122.9507792
40206741,SMP NEGERI 2 BULAGI SELATAN,Desa Balalon,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.539,122.9512
40200183,SD INPRES BABANG,Babang,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.54019,122.946808
69960392,SMPN 4 BULAGI SELATAN,JL. TRANS SEA SEA,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.4708481,122.9711745
40200132,SD NEGERI SABELAK,Sabelak,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.515,122.9884
69934409,SDN INPRES LABOTANKANDI,DESA LABOTAKANDI,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5149,122.9885
P9959773,PKBM FAJARKU,DESA LOLANTANG,Kec. Bulagi Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,PKBM,SWASTA,-1.4748183,122.9811125
69942698,KB. MUTIARA BALAYON,DESA BALAYON,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,KB,SWASTA,-1.485048,123.179054
69894918,AL-HIKMAH PANAPAT ,Jl. Pandemak No. 2,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,MA,SWASTA,-1.5132,123.18132
40200195,SMP Negeri 2 Peling Tengah,LUK,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.4781,123.1776
40210198,MTSS SULLAMUL FALAH,TOMBOS,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,MTs,SWASTA,-1.4693,123.1776
40200344,SDN INPRES TOMBOS,Tombos,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4657,123.1753
40200306,SMP NEGERI SATU ATAP POPISI,Siula Desa Popisi,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.5438644,123.1501157
69829142,KB IQRA,DESA SAMPEKONAN,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,KB,SWASTA,-1.505447,123.199267
40200397,SD INPRES SAMPEKONAN,Sampekonan,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5053,123.1994
40200341,SDN INPRES TUNGGALING,Desa Tunggaling,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4772,123.1959
40200117,SD NEGERI MAMULUSAN,Desa Mamulusan,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5206,123.2094
40210197,MTSS MIFTAHUL HUDA SALEATI,JL. TANOTU NO. 111,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,MTs,SWASTA,-1.509603,123.21901
40200158,SD NEGERI BASOSOL,Basosol,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4984,123.2256
40200284,SD INPRES KINANDAL,Desa Kinandal,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4971,123.2333
40200321,SDN 2 INPRES LIANG,Pal Sub Desa Liang,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5204,123.229
40206644,SD NEGERI LOOLONG,Loolong,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.525,123.2333
69725994,SMP NEGERI SATU ATAP KINDANDAL,Desa Kindandal Kec. Liang,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.479,123.2382
40200151,SD NEGERI BOYOMOUTE,Boyomoute,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4953,123.2465
40200160,SD NEGERI BALAYON,Balayon,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5141,123.2472
69945888,TK. GANGGANG LAUT,DESA APAL,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,TK,SWASTA,-1.470976,123.241882
40210196,MTSS AL QAMARIYAH POPIDOLON,DESA POPIDOLON,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,MTs,SWASTA,-1.541333,123.222927
69733954,SMP NEGERI 3 LIANG,Jl. Siswa No. 02 Desa Apal,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.4716,123.2507
40200208,SMP NEGERI 2 LIANG,Jl. Mokitos No. 4 ,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.4715,123.2508
40200335,SD NEGERI APAL,Jl. Siswa,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4677,123.2541
40200316,SDN 2 INPRES OKUMEL,Dusun Sondang Bajo  ,Kec. Liang,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4643,123.2412
69942596,KB. BUNDA TOBUNGIN,DESA TOBUNGIN,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,KB,SWASTA,-1.477776,123.364046
40200373,SDN INPRES LESANTOBUNGIN,Tobungin,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.478,123.3643
69751180,RA/BA/TA AL HIDAYAH MANSAMAT,DESA MANSAMAT B.,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,RA,SWASTA,-1.469604,123.359241
40200381,SD INPRES MANSAMAT B,Desa Mansamat B,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4572,123.3375
P9996601,PKBM MELATI,Desa Kampung Baru,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,PKBM,SWASTA,-1.4632538,123.3558698
40200211,SMP NEGERI 1 TINANGKUNG SELATAN,Jl. Pramuka No. 7 Mansamat,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.4558,123.3381
40200155,SD NEGERI BOBU,Desa Bobu,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.501,123.3823
40206509,SMP NEGERI 2 TINANGKUNG SELATAN,JL. LORONG SAMUDERA NO 3,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.5136,123.4183
40200392,SD INPRES TABING,Desa Labibi,Kec. Peling Tengah,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5156,123.4188
40200348,SD NEGERI TOBING,Tobing,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5156,123.4188
40210200,MTSS AL-AMIN MANSAMAT,JL. TRAN SULAWESI,Kec. Tinangkung Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,MTs,SWASTA,-1.502469,123.424972
40200386,SDN INPRES LUKSAGU,Desa Luksagu,Kec. Tinangkung Utara,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4642,123.4088
40200167,SD NEGERI LOBUTON,Desa Lobuton,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4913,123.4535
40200257,SD NEGERI TONUSON,Tonuson,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5051,123.4611
40200113,SD NEGERI MATA,Mata,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.465,123.4423
40200274,SD INPRES 3 KALUMBATAN,Desa Kalumbatan,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4674,123.467
40200205,SMP NEGERI 1 TOTIKUM SELATAN,Jln. Mangkamata,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.468,123.4705
40200226,SD NEGERI TOBUNGKU,Desa Tobungku,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4648,123.4713
69947396,SMA NEGERI TOTIKUM SELATAN,Jl. Siswa No. 01  Desa Tobungku Kec. Totikum Selatan,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMA,NEGERI,-1.4645,123.4719
40200118,SD NEGERI PAISUMOSONI,Paisumosoni,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.5025169,123.5040024
69829124,TK NEGERI 2 BANGGAI UTARA,DESA PAISUMOSONI,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.501479,123.507485
40200224,SD NEGERI TOLISETUBONO,Desa Tolisetubono,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.5221,123.5005
69979484,TK BINTANG KECIL,DUSUN 3,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.523006,123.5010093
P9959734,PKBM NUSANTARA,DESA KALUMBATAN,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,PKBM,SWASTA,-1.468,123.4867
40200134,SD NEGERI POPISI,DESA  POPISI,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.4999124,123.5127225
69980505,SMK NEGERI 1 BANGGAI UTARA,JL. SISWA NO. 1,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMK,NEGERI,-1.5059,123.5133
40210203,MTSS KSM KALUMBATAN,JL. BUKIT PERMAI NO. 01,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,MTs,SWASTA,-1.4672,123.4886
40200324,SD INPRES 2 KALUMBATAN,Desa Kalumbatan,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4664,123.4867
40200326,SD INPRES 1 KALUMBATAN,Desa Kalumbatan,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4662,123.4866
40200290,SD INPRES KANALI,Desa Kanali,Kec. Totikum Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4633,123.4836
40206508,SMP NEGERI SATU ATAP BONE BARU,Bonebaru,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.5355,123.4901
40200153,SD NEGERI BONE BARU,Bone Baru,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.5356,123.4922
40200148,SD NEGERI LOKOTOY,Lokotoy,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.509873,123.516992
40200209,SMP Negeri 1 Banggai Utara,Jln. Siswa No. 1 Lokotoy,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.5109,123.5176
69931840,TK NEGERI 1 BANGGAI UTARA,"JALAN P.DJAHAL, DUSUN II ",Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.510571,123.520312
40206494,SD NEGERI PAISUBATANGO,Dusun IV Paisubatango,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.5431,123.4817
69829149,KB KASIH SEJATI,DESA LOKOTOY SUB DESA PAISU TANGA,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-1.526919,123.51918
69768333,TK TUNAS HARAPAN SLAMETHARJO,JL. RAYA LUWUK MOILONG,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,TK,SWASTA,-1.4547946,122.3857793
40201910,SD INPRES BUMIBARU,Moilong ,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.451,122.4115
40201922,SD INPRES KAYUKU RAHMAT,Jl.Siswa No.01,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4525,122.3863
40201776,SD INPRES 3 TOILI,Desa Bumiharjo,Kec. Toili,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4581,122.3807
40201642,SMP NEGERI 2 TOILI,Jl.Laginda No.1 Toili,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SMP,NEGERI,-1.4439,122.3998
69940597,TK MUTIARA JAYA MOILONG,Desa Karya jaya Kec. Moilong,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,TK,SWASTA,-1.4597,122.3748
40201735,SD INPRES 2 SLAMETHARJO,Jln. Tadulako,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4431,122.3935
40201934,SD INPRES MOILONG,"Desa Moilong, Kec. Moilong, Kab. Banggai, Sulawesi Tengah",Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4451,122.413
69751129,RA/BA/TA ALKHAIRAAT MOILONG,DESA MOILONG KEC.MOILONG,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,RA,SWASTA,-1.4439,122.4115
40201744,SD INPRES 1 SLAMETHARJO,Desa Slametharjo,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4423,122.3927
69928488,PAUD TK PERMATA HATI,DESA SUMBERHARJO,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,TK,SWASTA,-1.441,122.3987
40201569,SD NEGERI 1 TOILI,Desa Toili Dusun I,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.441,122.4022
